URL	FK Score	Word Count	Bounce Rate	Time on Site	 Seconds 
https://www.pharmacyadvantagerx.com/disease_autoimmune	21.5	418	0.684210526	0:31	31.122807
https://www.pharmacyadvantagerx.com/disease_transplant	37.7	238	0.8	0:48	48.71
https://www.pharmacyadvantagerx.com/disease_psoriatic_arthritis	16.1	233	0.857142857	0:24	24.827586
http://www.cei.com/services	32.6	98	0.452755906	3:39	219.240157
/about-cei/media-room/blog/software-guide-the-aspiring-bim-professional	26.6	768	0.636363636	2:41	161.454545
/about-cei/media-room/blog	51.6	114	0.10	5:00	300.375
/about-cei/media-room/blog/what-and-where-the-cloud	47.3	437	0.733333333	2:09	129.20
/about-cei/media-room/blog/infographic-stay-cool-and-healthy-summer	55.2	375	0.89	0:02	2.00
/about-cei/media-room/blog/the-construction-intern-survival-guide-seven-ways-begin-successful	66.6	837	0.732394366	1:31	91.75
/about-cei/media-room/blog/decoding-your-electric-bill	66.5	1056	0.50	2:26	146.50
/about-cei/media-room/blog/safety-takes-sfo-terminal-3-project	36.1	378	0.8333	1:22	82.3333333
/about-cei/media-room/blog/cei-sponsors-26th-annual-asc-competition	26.7	238	1	0:00	0
/about-cei/media-room/blog/cupertino-cdcdg-unite-form-data-center-powerhouse	46.2	612	0.60	4:47	288.00
/about-cei/media-room/blog/cupertino-electric-wins-second-consecutive-agc-safety-award	24.4	399	1	0:00	0.00
http://www.riainvision.com/exams/breast_tomosynthesis.aspx	48.9	996	0.895729891	0:27	27.943396
http://www.riainvision.com/exams/breast_biopsy.aspx	45.9	2774	0.935925520	0:23	23.516429
http://www.riainvision.com/exams/breast_mri.aspx	55.5	1312	0.720930233	1:51	111.038760
http://www.riainvision.com/exams/breast_ultrasound.aspx	48.8	810	0.872413793	0:29	29.968966
http://www.riainvision.com/exams/ct_scan.aspx	54.8	1120	0.694915254	1:16	76.915254
http://www.riainvision.com/exams/hsg_hysterosalpingogram.aspx	44.9	1169	0.924719101	0:45	45.291011
http://www.riainvision.com/exams/lung_screening.aspx	51.6	711	0.702702703	4:22	262.081081
http://www.riainvision.com/exams/mammography-mammogram.aspx	40.3	1348	0.450704225	1:39	99.514085
http://www.riainvision.com/exams/mri.aspx	56.2	1500	0.808768657	0:52	52.853545
http://www.riainvision.com/exams/musculoskeletal-ultrasound.aspx	31.7	1401	0.836477987	0:55	55.025157
http://www.riainvision.com/exams/thyroid_biopsy.aspx	43.6	796	0.912052117	0:32	32.770358
http://www.riainvision.com/exams/ultrasound.aspx	54.2	1488	0.648351648	2:08	128.186813
http://www.riainvision.com/exams/virtual_colonoscopy.aspx	31	1421	0.719917012	1:43	103.402490
http://www.riainvision.com/exams/xray.aspx	51.3	878	0.512820513	1:54	114.615385
